Player,Team,Opponent,Game Date,Best Book,Best Odds,Median Market Odds,Books Quoting,Best Implied Probability,Median Market Implied Probability,Probability-Price Difference,Quote Age,Status
Blake Whiteheart,CLE,TB,2026-09-20,fanatics,2500,1700.0,8,0.038461538461538464,0.05555555555555555,0.01709401709401709,1.5720328333333333,PRICE_OUTLIER
Tyler Allgeier,ARI,SEA,2026-09-20,fanatics,230,212.5,8,0.30303030303030304,0.32,0.016969696969696968,2.24694255,OK
Brevyn Spann-Ford,DAL,WAS,2026-09-20,betmgm,825,700.0,8,0.10810810810810811,0.125,0.016891891891891886,3.2652496166666665,OK
Lamar Jackson,BAL,NO,2026-09-20,betmgm,190,176.49999999999997,8,0.3448275862068966,0.36166365280289337,0.01683606659599679,0.8682415833333333,OK
Alec Pierce,IND,KC,2026-09-20,fanatics,375,340.00000000000006,8,0.21052631578947367,0.22727272727272727,0.016746411483253593,3.2686915,OK
Jake Briningstool,KC,IND,2026-09-20,betmgm,1400,1100.0,8,0.06666666666666667,0.08333333333333333,0.016666666666666663,3.2686915,PRICE_OUTLIER
Jalen Hurts,PHI,TEN,2026-09-20,draftkings,150,140.0,7,0.4,0.4166666666666667,0.016666666666666663,0.95919885,OK
Travis Etienne Jr.,NO,BAL,2026-09-20,draftkings,150,140.0,8,0.4,0.4166666666666667,0.016666666666666663,0.8682415833333333,OK
Will Shipley,PHI,TEN,2026-09-20,fanduel,1400,1100.0,7,0.06666666666666667,0.08333333333333333,0.016666666666666663,0.95919885,PRICE_OUTLIER
Caleb Williams,CHI,MIN,2026-09-20,bovada,340,309.99999999999994,8,0.22727272727272727,0.24390243902439027,0.016629711751663,1.6860952166666665,OK
Juwan Johnson,NO,BAL,2026-09-20,fanatics,360,327.50000000000006,8,0.2173913043478261,0.23391812865497075,0.01652682430714464,0.8682415833333333,OK
James Cook,BUF,DET,2026-09-17,betmgm,-155,-165.9036144578313,8,0.607843137254902,0.6239238785681921,0.01608074131329007,2.248649383333333,OK
Noah Fant,NO,BAL,2026-09-20,betmgm,850,725.0,8,0.10526315789473684,0.12121212121212122,0.01594896331738438,0.8682415833333333,OK
Durham Smythe,BAL,NO,2026-09-20,betrivers,950,800.0,8,0.09523809523809523,0.1111111111111111,0.015873015873015872,0.8682415833333333,OK
Johnny Mundt,PHI,TEN,2026-09-20,fanatics,1700,1300.0,7,0.05555555555555555,0.07142857142857142,0.015873015873015872,0.95919885,PRICE_OUTLIER
KaVontae Turpin,DAL,WAS,2026-09-20,fanatics,800,687.5,8,0.1111111111111111,0.12698412698412698,0.015873015873015872,3.2652496166666665,OK
Treylon Burks,WAS,DAL,2026-09-20,fanatics,1700,1300.0,7,0.05555555555555555,0.07142857142857142,0.015873015873015872,3.2652496166666665,PRICE_OUTLIER
Joe Burrow,CIN,HOU,2026-09-20,fanatics,1000,837.5,8,0.09090909090909091,0.10666666666666667,0.015757575757575762,1.68743255,OK
Myles Price,MIN,CHI,2026-09-20,fanatics,3500,2200.0,8,0.027777777777777776,0.043478260869565216,0.01570048309178744,1.6860952166666665,PRICE_OUTLIER
Roman Wilson,PIT,NE,2026-09-20,fanatics,750,650.0,8,0.11764705882352941,0.13333333333333333,0.01568627450980392,1.0581373,OK
Cyrus Allen,KC,IND,2026-09-20,fanatics,2500,1750.0,8,0.038461538461538464,0.05405405405405406,0.015592515592515593,3.2686915,PRICE_OUTLIER
Luke Schoonmaker,DAL,WAS,2026-09-20,fanatics,1300,1050.0,8,0.07142857142857142,0.08695652173913043,0.015527950310559008,3.2652496166666665,OK
Connor Heyward,LV,LAC,2026-09-20,fanatics,2800,1900.0,7,0.034482758620689655,0.05,0.015517241379310348,2.2622729,PRICE_OUTLIER
Eli Heidenreich,PIT,NE,2026-09-20,fanatics,3000,2000.0,8,0.03225806451612903,0.047619047619047616,0.015360983102918585,1.0581373,PRICE_OUTLIER
Max Bredeson,MIN,CHI,2026-09-20,fanatics,3000,2000.0,4,0.03225806451612903,0.047619047619047616,0.015360983102918585,1.16942855,PRICE_OUTLIER
Tanner Koziol,JAX,DEN,2026-09-20,fanatics,3000,2000.0,8,0.03225806451612903,0.047619047619047616,0.015360983102918585,1.7442738,PRICE_OUTLIER
Zonovan Knight,,,2026-09-20,draftkings,3000,2000.0,5,0.03225806451612903,0.047619047619047616,0.015360983102918585,1.1302758833333333,PRICE_OUTLIER|TEAM_UNKNOWN
Aaron Rodgers,PIT,NE,2026-09-20,fanatics,2200,1600.0,8,0.043478260869565216,0.058823529411764705,0.015345268542199489,1.0581373,PRICE_OUTLIER
Isaiah Bond,CLE,TB,2026-09-20,fanatics,2200,1600.0,8,0.043478260869565216,0.058823529411764705,0.015345268542199489,1.5720328333333333,PRICE_OUTLIER
Ja'Tavion Sanders,CAR,ATL,2026-09-20,fanatics,2200,1600.0,5,0.043478260869565216,0.058823529411764705,0.015345268542199489,1.9671282166666666,PRICE_OUTLIER
Javonte Williams,DAL,WAS,2026-09-20,draftkings,-165,-175.99999999999994,8,0.6226415094339623,0.6376811594202898,0.015039649986327452,3.2652496166666665,OK
Tony Pollard,TEN,PHI,2026-09-20,fanatics,225,210.0,7,0.3076923076923077,0.3225806451612903,0.014888337468982604,0.95919885,OK
Buffalo Bills D/ST,,,2026-09-17,draftkings,650,575.0,4,0.13333333333333333,0.14814814814814814,0.014814814814814808,2.248649383333333,TEAM_UNKNOWN
Deshaun Watson,CLE,TB,2026-09-20,fanatics,650,575.0,8,0.13333333333333333,0.14814814814814814,0.014814814814814808,1.5720328333333333,OK
Kendre Miller,NO,BAL,2026-09-20,draftkings,650,575.0,8,0.13333333333333333,0.14814814814814814,0.014814814814814808,0.8682415833333333,OK
Jaylin Lane,WAS,DAL,2026-09-20,fanatics,1700,1325.0,8,0.05555555555555555,0.07017543859649122,0.014619883040935672,3.2652496166666665,PRICE_OUTLIER
Deebo Samuel,SF,MIA,2026-09-20,betmgm,230,215.0,8,0.30303030303030304,0.31746031746031744,0.014430014430014404,2.9501660000000003,OK
Demond Claiborne,MIN,CHI,2026-09-20,fanatics,1000,850.0,8,0.09090909090909091,0.10526315789473684,0.014354066985645925,1.6860952166666665,OK
Kaleb Johnson,GB,NYJ,2026-09-20,fanatics,1000,850.0,7,0.09090909090909091,0.10526315789473684,0.014354066985645925,2.2233642500000004,OK
Corey Kiner,NE,PIT,2026-09-20,fanatics,2500,1800.0,8,0.038461538461538464,0.05263157894736842,0.014170040485829954,1.0581373,PRICE_OUTLIER
Brayden Willis,SF,MIA,2026-09-20,bovada,4000,2500.0,7,0.024390243902439025,0.038461538461538464,0.014071294559099438,2.9501660000000003,PRICE_OUTLIER
Devin Duvernay,ARI,SEA,2026-09-20,fanatics,4000,2500.0,7,0.024390243902439025,0.038461538461538464,0.014071294559099438,2.24694255,PRICE_OUTLIER
Cade Stover,HOU,CIN,2026-09-20,betmgm,1200,1000.0,8,0.07692307692307693,0.09090909090909091,0.013986013986013984,1.68743255,OK
DeeJay Dallas,MIN,CHI,2026-09-20,fanatics,525,475.0,7,0.16,0.17391304347826086,0.013913043478260861,1.6860952166666665,OK
Kendrick Bourne,ARI,SEA,2026-09-20,fanatics,800,700.0,8,0.1111111111111111,0.125,0.013888888888888895,2.24694255,OK
Tez Johnson,TB,CLE,2026-09-20,fanatics,800,700.0,7,0.1111111111111111,0.125,0.013888888888888895,1.5720328333333333,OK
Ryan Flournoy,DAL,WAS,2026-09-20,fanatics,380,350.0,8,0.20833333333333334,0.2222222222222222,0.013888888888888867,3.2652496166666665,OK
Tyjae Spears,TEN,PHI,2026-09-20,fanatics,380,350.0,7,0.20833333333333334,0.2222222222222222,0.013888888888888867,0.95919885,OK
Ben Skowronek,PIT,NE,2026-09-20,fanatics,7000,3500.0,7,0.014084507042253521,0.027777777777777776,0.013693270735524255,1.0581373,PRICE_OUTLIER
Wan'Dale Robinson,TEN,PHI,2026-09-20,draftkings,425,390.00000000000006,7,0.19047619047619047,0.2040816326530612,0.013605442176870736,0.95919885,OK
Bucky Irving,TB,CLE,2026-09-20,betrivers,-124,-130.99236641221373,8,0.5535714285714286,0.5670852610707204,0.013513832499291833,1.5720328333333333,OK
Sam Roush,CHI,MIN,2026-09-20,fanatics,4000,2550.0,8,0.024390243902439025,0.03773584905660377,0.013345605154164747,1.6860952166666665,PRICE_OUTLIER
Tahj Brooks,CIN,HOU,2026-09-20,fanatics,4000,2550.0,8,0.024390243902439025,0.03773584905660377,0.013345605154164747,1.68743255,PRICE_OUTLIER
Colbie Young,CIN,HOU,2026-09-20,fanatics,3000,2100.0,8,0.03225806451612903,0.045454545454545456,0.013196480938416424,1.68743255,PRICE_OUTLIER
Deion Burks,IND,KC,2026-09-20,fanatics,2800,2000.0,7,0.034482758620689655,0.047619047619047616,0.013136288998357962,3.2686915,PRICE_OUTLIER
Germie Bernard,PIT,NE,2026-09-20,fanatics,2800,2000.0,8,0.034482758620689655,0.047619047619047616,0.013136288998357962,1.0581373,PRICE_OUTLIER
Rasheen Ali,BAL,NO,2026-09-20,fanatics,2800,2000.0,7,0.034482758620689655,0.047619047619047616,0.013136288998357962,0.8682415833333333,PRICE_OUTLIER
Zachariah Branch,ATL,CAR,2026-09-20,fanatics,1050,900.0,6,0.08695652173913043,0.1,0.013043478260869573,1.9671282166666666,OK
Tetairoa McMillan,CAR,ATL,2026-09-20,bovada,190,179.5,8,0.3448275862068966,0.35778175313059035,0.012954166923693777,1.9671282166666666,OK
Kansas City Chiefs D/ST,,,2026-09-20,draftkings,550,500.0,3,0.15384615384615385,0.16666666666666666,0.012820512820512803,1.3186915,TEAM_UNKNOWN
