season,game,event_id,prediction_time,sportsbook,player,normalized_player,price,quote_time,quote_age_minutes
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,pointsbetus,Irv Smith,irvsmith,300,2023-09-17T15:53:16+00:00,6.733333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Irv Smith Jr.,irvsmith,280,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Irv Smith Jr.,irvsmith,250,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Isaiah Likely,isaiahlikely,275,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Isaiah Likely,isaiahlikely,270,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Isaiah Likely,isaiahlikely,375,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Isaiah Likely,isaiahlikely,1000,2023-09-17T15:55:32+00:00,4.466666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Isaiah Likely,isaiahlikely,600,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Isaiah Likely,isaiahlikely,270,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Jalen Davis,jalendavis,10000,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Jalyn Armour-Davis,jalynarmourdavis,7500,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,barstool,Ja'Marr Chase,jamarrchase,100,2023-09-17T15:54:45+00:00,5.25
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Ja'Marr Chase,jamarrchase,-110,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Ja'Marr Chase,jamarrchase,-110,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Ja'Marr Chase,jamarrchase,105,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Ja'Marr Chase,jamarrchase,110,2023-09-17T15:55:32+00:00,4.466666666666667
