Player,Team,Opponent,Game Date,Prop,Sportsbook Line,Model Mean,Distribution Method,P(Over),P(Under),P(Push),Best Over Odds,Best Under Odds,Market No-Vig P(Over),Median Over Odds,Median Under Odds,Books Quoting,Model Minus Market,Quote Age,Quote Timestamp,Confidence / Data Quality Flag
Dawson Knox,BUF,DET,2026-09-17,receptions,1.5,1.6814049525136243,negative_binomial,0.3990013675226861,0.6009986324773139,0.0,124,-150,0.4232164449818621,121.99999999999997,-159.00000000000003,5,-0.024215077459176004,1.2262096333333332,2026-09-17T19:43:33+00:00,MARKET_ALIGNED
Jordan Addison,MIN,CHI,2026-09-20,receptions,2.5,5.484832498887878,negative_binomial,0.6183911762939579,0.38160882370604216,0.0,-150,136,0.5946590367191226,-171.99999999999994,132.00000000000003,5,0.02373213957483533,1.8262096333333333,2026-09-17T19:42:20+00:00,MARKET_ALIGNED
DeMario Douglas,NE,PIT,2026-09-20,receptions,3.5,4.034216200584955,negative_binomial,0.41926226062621264,0.5807377393737875,0.0,118,-145,0.43936417217360246,114.99999999999999,-145.99999999999997,5,-0.020101911547389828,1.1928762999999998,2026-09-17T19:43:53+00:00,MARKET_ALIGNED
Mike Evans,SF,MIA,2026-09-20,receptions,3.5,5.9843983244655865,negative_binomial,0.5506446053404983,0.4493553946595017,0.0,-122,107,0.5306122448979592,-130.0,100.0,3,0.020032360442539088,0.4928763,2026-09-17T19:43:45+00:00,TEAM_CHANGE|MARKET_ALIGNED
D'Andre Swift,CHI,MIN,2026-09-20,receptions,1.5,2.568515510775558,negative_binomial,0.5279606216337251,0.4720393783662748,0.0,-125,112,0.5417850137421417,-135.49815498154985,105.49999999999997,4,-0.013824392108416572,1.3095429666666665,2026-09-17T19:43:59+00:00,MARKET_ALIGNED
Tony Pollard,TEN,PHI,2026-09-20,receptions,1.5,2.2162057715861123,negative_binomial,0.48330972660220595,0.5166902733977942,0.0,110,-122,0.4723111001722865,-101.0,-128.0,3,0.010998626429919445,0.9762096333333333,2026-09-17T19:43:11+00:00,MARKET_ALIGNED
Courtland Sutton,DEN,JAX,2026-09-20,receptions,3.5,5.316659934610998,negative_binomial,0.5122181131889074,0.4877818868110926,0.0,-106,-110,0.5036259403767264,-115.00000000000001,-111.49775784753363,4,0.008592172812181054,1.8762096333333331,2026-09-17T19:43:14+00:00,MARKET_ALIGNED
DJ Moore,BUF,DET,2026-09-17,receptions,4.5,6.33960384930459,negative_binomial,0.4905053542461237,0.5094946457538764,0.0,-110,-108,0.49542224124262474,-112.00000000000001,-116.48068669527898,6,-0.0049168869965010575,1.2262096333333332,2026-09-17T19:44:03+00:00,TEAM_CHANGE|MARKET_ALIGNED
George Kittle,SF,MIA,2026-09-20,receptions,3.5,5.88670628329537,negative_binomial,0.5453732028114778,0.4546267971885221,0.0,-133,108,0.5407914020517831,-135.0,104.99999999999999,3,0.004581800759694721,0.4928763,2026-09-17T19:43:40+00:00,MARKET_ALIGNED
Travis Kelce,KC,IND,2026-09-20,receptions,3.5,6.150300574275179,negative_binomial,0.5593437589656636,0.4406562410343365,0.0,-147,116,0.5623165198825728,-148.48484848484853,114.99999999999999,4,-0.002972760916909234,1.2428762999999998,2026-09-17T19:43:14+00:00,MARKET_ALIGNED
Jakobi Meyers,JAX,DEN,2026-09-20,receptions,3.5,5.260753938536651,negative_binomial,0.5087294432528375,0.4912705567471625,0.0,-117,100,0.5097059453956427,-118.99159663865545,-109.49771689497717,4,-0.0009765021428052023,1.8762096333333331,2026-09-17T19:42:17+00:00,TEAM_CHANGE|MARKET_ALIGNED
Dalton Kincaid,BUF,DET,2026-09-17,receptions,4.5,3.2771997990054356,negative_binomial,0.26520665959722767,0.7347933404027723,0.0,126,-161,,125.49999999999999,-162.97546012269942,2,,0.7595429666666667,2026-09-17T19:44:03+00:00,INSUFFICIENT_MARKET
Isaac TeSlaa,DET,BUF,2026-09-17,receptions,1.5,,negative_binomial,,,,-111,100,0.5020774472328402,-113.99999999999999,-112.00000000000001,5,,1.2262096333333332,2026-09-17T19:43:24+00:00,LOW_HISTORY
