event_id,game,player,sportsbook,american_odds,quote_time,snapshot_time,prediction_time
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Zachariah Branch,betonlineag,1000,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Ben Skowronek,betonlineag,1300,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Robert Tonyan,betonlineag,1100,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Riley Nowakowski,betonlineag,1300,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Charlie Woerner,betonlineag,3400,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Austin Hooper,betonlineag,1000,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Kaden Wetjen,betonlineag,1300,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Eli Heidenreich,betonlineag,1100,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Chris Blair,betonlineag,2400,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Cooper Rush,betonlineag,1900,2026-09-13T15:55:00+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Bijan Robinson,fanduel,-120,2026-09-13T15:55:09+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Jaylen Warren,fanduel,120,2026-09-13T15:55:09+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Rico Dowdle,fanduel,135,2026-09-13T15:55:09+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
