game,player_id,position,team,season,anytime_td,p_hierarchical_oof,p_pooled_logistic_oof_raw,p_position_logistic_oof_raw,p_lightgbm_conservative_oof_raw,component_fit_max_season
2023_13_ARI_PIT,00-0035500,WR,ARI,2023,0,0.08434820876795535,0.06425302821193067,0.06709978038058069,0.10362555236178986,2022
2023_13_ARI_PIT,00-0035662,WR,ARI,2023,0,0.17148398347641247,0.2260907084673343,0.2450292085658181,0.17304194604227605,2022
2023_13_ARI_PIT,00-0035860,RB,ARI,2023,0,0.06178881349233534,0.057801379861790965,0.05629735276013615,0.07797873221374406,2022
2023_13_ARI_PIT,00-0036924,RB,ARI,2023,0,0.15235046255217854,0.12823002743806747,0.12758342666013428,0.14136393573014602,2022
2023_13_ARI_PIT,00-0036936,WR,ARI,2023,0,0.11065609813588217,0.12748233703066167,0.10906385771610143,0.13002557466152795,2022
2023_13_ARI_PIT,00-0037299,RB,ARI,2023,0,0.09744005267143296,0.08599173821984277,0.09145162632047123,0.09203132080621071,2022
2023_13_ARI_PIT,00-0037744,TE,ARI,2023,1,0.1851601237661188,0.23120644526680986,0.18334277458310408,0.20046854224557226,2022
2023_13_ARI_PIT,00-0038559,WR,ARI,2023,0,0.11040148598864552,0.1380679217999049,0.14199513546783804,0.14525318072433793,2022
2023_13_ARI_PIT,00-0038582,QB,ARI,2023,0,0.05038167204888122,0.017880366810416423,0.010677905701382934,0.06415295990190856,2022
2023_13_ARI_PIT,00-0038705,RB,ARI,2023,0,0.18195745134470498,0.19465794124367872,0.1947226020982133,0.19810513086374307,2022
2023_13_ARI_PIT,00-0039041,TE,ARI,2023,0,0.026311039557895044,0.037589930764428764,0.031231876158294578,0.044360772749409486,2022
2023_13_ARI_PIT,00-0031428,WR,PIT,2023,0,0.11954295948315408,0.12438705328955174,0.09539866397206426,0.0726151830035174,2022
2023_13_ARI_PIT,00-0035216,WR,PIT,2023,1,0.355349616029083,0.24532485958635936,0.24429313440891087,0.26159857857295626,2022
2023_13_ARI_PIT,00-0035703,WR,PIT,2023,0,0.024496023797806576,0.047667719424613765,0.03844205026759,0.04566710742842685,2022
2023_13_ARI_PIT,00-0036336,RB,PIT,2023,0,0.02857076280380566,0.04201954190442371,0.05111753740210453,0.04887378104729823,2022
2023_13_ARI_PIT,00-0036893,RB,PIT,2023,0,0.407559326169202,0.25723014853142784,0.26470361329419917,0.36706188536180434,2022
2023_13_ARI_PIT,00-0036894,TE,PIT,2023,0,0.2105497663015461,0.1328476428766658,0.18028900036737058,0.19482865784435058,2022
2023_13_ARI_PIT,00-0037228,RB,PIT,2023,0,0.3549401328538959,0.2592465059498863,0.22919045852154277,0.3096857604649053,2022
2023_13_ARI_PIT,00-0037247,WR,PIT,2023,0,0.23917302382933725,0.19648409176712278,0.1802137246435849,0.21362645370574607,2022
2023_13_ARI_PIT,00-0037451,TE,PIT,2023,0,0.025975485277366372,0.0010549928403978473,0.09669858217606514,0.04677887869562827,2022
2023_13_ARI_PIT,00-0037837,WR,PIT,2023,0,0.07800824791098526,0.06727033676694788,0.04902937927438115,0.057250296977526455,2022
2023_13_ARI_PIT,00-0038102,QB,PIT,2023,0,0.14642014288912053,0.09398249776001548,0.08913772846317662,0.1118488347040491,2022
2023_13_ARI_PIT,00-0038558,TE,PIT,2023,0,0.08754188359808701,0.09411425652649075,0.11684591933948967,0.056935866938135876,2022
2023_13_ATL_NYJ,00-0030578,RB,ATL,2023,0,0.08951285743377013,0.0670291665912222,0.06689837517502757,0.07269773059560336,2022
2023_13_ATL_NYJ,00-0031585,TE,ATL,2023,1,0.05837472381909914,0.04520630723172336,0.052160020458769316,0.07126429136628072,2022
2023_13_ATL_NYJ,00-0031800,QB,ATL,2023,0,0.08056704277148463,0.06358907166125871,0.052690548608172134,0.08870686751836022,2022
2023_13_ATL_NYJ,00-0031868,WR,ATL,2023,0,0.05541523489679634,0.04439896347267056,0.043773337086903466,0.05015293815049713,2022
2023_13_ATL_NYJ,00-0033555,WR,ATL,2023,0,0.06553339365344735,0.05273985370406071,0.046040697022465285,0.06795920894283672,2022
2023_13_ATL_NYJ,00-0033858,TE,ATL,2023,0,0.11112706091884594,0.08105422509944225,0.07529541586692058,0.107934082015257,2022
2023_13_ATL_NYJ,00-0034854,WR,ATL,2023,0,0.07141396527338562,0.06251726150428087,0.05576675359676528,0.05748034957034965,2022
2023_13_ATL_NYJ,00-0035298,WR,ATL,2023,0,0.0645732837047992,0.047892528222850894,0.04221636168610633,0.07673029928453598,2022
2023_13_ATL_NYJ,00-0036415,WR,ATL,2023,0,0.09894386829191226,0.07464605213582064,0.07429375727779541,0.06991496197022422,2022
2023_13_ATL_NYJ,00-0036970,TE,ATL,2023,0,0.13901897815511333,0.09669804675592225,0.13247386270495962,0.10511394005805848,2022
2023_13_ATL_NYJ,00-0037238,WR,ATL,2023,0,0.21098421462290573,0.17515417561705296,0.1792491409706764,0.17299752761904805,2022
2023_13_ATL_NYJ,00-0037263,RB,ATL,2023,0,0.204464148479776,0.14663833101160967,0.1428672121135986,0.1772651894135271,2022
